ICAO,PHASE,RANGE,DATE,MVTS_VALID,MVTS_NA,TOT_ASMA,TOT_REF,TOT_ADD_TIME,TOT_ASMA_SUPPLIED,TOT_UNIMP_SUPPLIED,TOT_ADD_SUPPLIED
SBBR,ARR,C100,2023-03-15,180,47,4443.166666666667,3913.82,529.3466666666667,4443.166666666667,3913.09,530.0766666666667
SBBR,ARR,C40,2023-03-15,180,47,2574.3333333333335,2309.2266666666665,265.1066666666666,2574.3333333333335,2272.963333333333,301.37
SBBR,ARR,C100,2023-03-16,177,53,4780.516666666666,3814.95,965.5666666666666,4780.516666666666,3796.31,984.2066666666666
SBBR,ARR,C40,2023-03-16,182,48,2847.1,2291.2066666666665,555.8933333333333,2847.1,2248.5833333333335,598.5166666666667
SBBR,ARR,C100,2023-03-17,187,41,4871.633333333333,4102.043333333333,769.59,4871.633333333333,4102.08,769.5533333333333
SBBR,ARR,C40,2023-03-17,181,47,2786.0833333333335,2395.5133333333333,390.57,2786.0833333333335,2358.55,427.53333333333336
SBBR,ARR,C100,2023-03-18,133,26,3186.95,2902.326666666667,284.62333333333333,3186.95,2906.673333333333,280.27666666666664
SBBR,ARR,C40,2023-03-18,139,20,1917.25,1771.1,146.14999999999998,1917.25,1741.8999999999999,175.35
SBBR,ARR,C100,2023-03-19,145,22,3541.1833333333334,3187.306666666667,353.87666666666667,3541.1833333333334,3198.036666666667,343.14666666666665
SBBR,ARR,C40,2023-03-19,155,12,2245.85,2031.5333333333333,214.31666666666666,2245.85,2000.9666666666667,244.88333333333333
SBBR,ARR,C100,2023-03-20,177,18,4330.35,3834.496666666667,495.85333333333335,4330.35,3858.1866666666665,472.16333333333336
SBBR,ARR,C40,2023-03-20,182,13,2662.7,2359.1866666666665,303.5133333333333,2662.7,2327.293333333333,335.4066666666667
SBBR,ARR,C100,2023-03-21,202,23,5040.016666666666,4423.156666666667,616.86,5040.016666666666,4404.53,635.4866666666667
SBBR,ARR,C40,2023-03-21,208,17,3102,2702.5666666666666,399.43333333333334,3102,2644.85,457.15
SBBR,ARR,C100,2023-03-22,185,33,4562.766666666666,4058.713333333333,504.05333333333334,4562.766666666666,4028.7566666666667,534.01
SBBR,ARR,C40,2023-03-22,190,28,2818.3333333333335,2473.7,344.6333333333333,2818.3333333333335,2399.9,361.1333333333333
SBBR,ARR,C100,2023-03-23,89,135,2176.9333333333334,1910.92,266.0133333333333,2176.9333333333334,1915.3633333333335,261.57
SBBR,ARR,C40,2023-03-23,90,134,1258.1,1123.7233333333334,134.37666666666667,1258.1,1108.05,150.05
SBBR,ARR,C100,2023-03-24,114,109,2884.016666666667,2522.0666666666666,361.95,2884.016666666667,2504.1433333333334,379.87333333333333
SBBR,ARR,C40,2023-03-24,123,100,1838.6,1621.4566666666667,217.14333333333332,1838.6,1582.0333333333333,256.56666666666666
SBBR,ARR,C100,2023-03-25,137,25,3299.5666666666666,2964.3133333333335,335.25333333333333,3299.5666666666666,2984.133333333333,315.43333333333334
SBBR,ARR,C40,2023-03-25,143,19,1979.0833333333333,1812.0033333333333,167.07999999999998,1979.0833333333333,1790.8666666666666,188.21666666666667
SBBR,ARR,C100,2023-03-26,150,19,3650.25,3287.2,363.05,3650.25,3284.3166666666666,365.93333333333334
SBBR,ARR,C40,2023-03-26,157,12,2256.9,2044.8533333333332,212.04666666666665,2256.9,2013.55,243.35
SBBR,ARR,C100,2023-03-27,189,35,4571.65,4108.323333333334,463.3266666666667,4571.65,4124.393333333333,447.25666666666666
SBBR,ARR,C40,2023-03-27,190,34,2715.4333333333334,2474.35,241.08333333333331,2715.4333333333334,2432.866666666667,282.56666666666666
SBBR,ARR,C100,2023-03-28,191,35,4749.6,4136.826666666667,612.7733333333333,4749.6,4129.296666666667,620.3033333333333
SBBR,ARR,C40,2023-03-28,200,26,2935.5,2542.52,392.97999999999996,2935.5,2476.75,405.55
SBBR,ARR,C100,2023-03-29,135,95,3363,3021.0633333333335,341.93666666666667,3363,2960.2533333333336,402.74666666666667
SBBR,ARR,C40,2023-03-29,144,86,2068.3166666666666,1899.7966666666666,168.51999999999998,2068.3166666666666,1848.0666666666666,220.25
